== TicTacToe

TOTAL
Random     :  5 wins, 247 losses,  8 draws
Think0     : 28 wins, 195 losses, 37 draws
Think100   : 109 wins, 58 losses, 93 draws
Think200   : 108 wins, 66 losses, 86 draws
Think300   : 104 wins, 71 losses, 85 draws
Think400   : 96 wins, 66 losses, 98 draws
Think500   : 110 wins, 60 losses, 90 draws
Think600   : 100 wins, 66 losses, 94 draws
Think700   : 88 wins, 76 losses, 96 draws
Think800   : 94 wins, 62 losses, 104 draws
Think900   : 96 wins, 53 losses, 111 draws
Think1000  : 91 wins, 71 losses, 98 draws
Think2000  : 83 wins, 59 losses, 118 draws
Think3000  : 100 wins, 62 losses, 98 draws

Random     Think0     :  4 wins, 14 losses,  2 draws
Random     Think100   :  0 wins, 20 losses,  0 draws
Random     Think200   :  0 wins, 20 losses,  0 draws
Random     Think300   :  0 wins, 19 losses,  1 draws
Random     Think400   :  0 wins, 20 losses,  0 draws
Random     Think500   :  0 wins, 20 losses,  0 draws
Random     Think600   :  0 wins, 19 losses,  1 draws
Random     Think700   :  0 wins, 20 losses,  0 draws
Random     Think800   :  0 wins, 17 losses,  3 draws
Random     Think900   :  0 wins, 20 losses,  0 draws
Random     Think1000  :  1 wins, 18 losses,  1 draws
Random     Think2000  :  0 wins, 20 losses,  0 draws
Random     Think3000  :  0 wins, 20 losses,  0 draws
Think0     Random     : 14 wins,  4 losses,  2 draws
Think0     Think100   :  1 wins, 17 losses,  2 draws
Think0     Think200   :  1 wins, 16 losses,  3 draws
Think0     Think300   :  1 wins, 14 losses,  5 draws
Think0     Think400   :  2 wins, 13 losses,  5 draws
Think0     Think500   :  1 wins, 18 losses,  1 draws
Think0     Think600   :  2 wins, 17 losses,  1 draws
Think0     Think700   :  0 wins, 16 losses,  4 draws
Think0     Think800   :  0 wins, 16 losses,  4 draws
Think0     Think900   :  1 wins, 13 losses,  6 draws
Think0     Think1000  :  1 wins, 18 losses,  1 draws
Think0     Think2000  :  4 wins, 16 losses,  0 draws
Think0     Think3000  :  0 wins, 17 losses,  3 draws
Think100   Random     : 20 wins,  0 losses,  0 draws
Think100   Think0     : 17 wins,  1 losses,  2 draws
Think100   Think200   :  8 wins,  4 losses,  8 draws
Think100   Think300   :  8 wins,  8 losses,  4 draws
Think100   Think400   :  5 wins,  5 losses, 10 draws
Think100   Think500   :  5 wins,  7 losses,  8 draws
Think100   Think600   : 10 wins,  5 losses,  5 draws
Think100   Think700   :  8 wins,  5 losses,  7 draws
Think100   Think800   :  3 wins,  5 losses, 12 draws
Think100   Think900   :  4 wins,  6 losses, 10 draws
Think100   Think1000  :  8 wins,  4 losses,  8 draws
Think100   Think2000  :  6 wins,  2 losses, 12 draws
Think100   Think3000  :  7 wins,  6 losses,  7 draws
Think200   Random     : 20 wins,  0 losses,  0 draws
